Team,Tag,Topic,nDCG@5
Batman,ER_v1,99,0.856
Batman,ER_v1,98,0.408
Batman,ER_v1,97,1.0
Batman,ER_v1,96,0.915
Batman,ER_v1,95,1.0
Batman,ER_v1,94,0.519
Batman,ER_v1,93,0.393
Batman,ER_v1,92,0.488
Batman,ER_v1,91,0.5
Batman,ER_v1,90,0.427
Batman,ER_v1,89,1.0
Batman,ER_v1,88,0.18
Batman,ER_v1,87,1.0
Batman,ER_v1,86,0.0
Batman,ER_v1,85,0.893
Batman,ER_v1,84,0.541
Batman,ER_v1,83,0.661
Batman,ER_v1,82,0.762
Batman,ER_v1,81,0.83
Batman,ER_v1,80,0.5
Batman,ER_v1,79,0.765
Batman,ER_v1,78,1.0
Batman,ER_v1,77,0.554
Batman,ER_v1,76,1.0
Batman,ER_v1,75,0.566
Batman,ER_v1,74,0.854
Batman,ER_v1,73,0.066
Batman,ER_v1,72,0.786
Batman,ER_v1,71,0.415
Batman,ER_v1,70,0.0
Batman,ER_v1,69,1.0
Batman,ER_v1,68,0.427
Batman,ER_v1,67,0.566
Batman,ER_v1,66,0.576
Batman,ER_v1,65,0.53
Batman,ER_v1,64,0.869
Batman,ER_v1,63,0.32
Batman,ER_v1,62,0.83
Batman,ER_v1,61,0.566
Batman,ER_v1,60,0.915
Batman,ER_v1,59,0.893
Batman,ER_v1,58,0.927
Batman,ER_v1,57,0.403
Batman,ER_v1,56,0.607
Batman,ER_v1,55,1.0
Batman,ER_v1,54,0.777
Batman,ER_v1,53,0.893
Batman,ER_v1,52,0.711
Batman,ER_v1,51,0.754
Batman,DE_RE_Analyzer_4r100,100,0.308
Batman,DE_RE_Analyzer_4r100,99,0.747
Batman,DE_RE_Analyzer_4r100,98,0.699
Batman,DE_RE_Analyzer_4r100,97,0.765
Batman,DE_RE_Analyzer_4r100,96,0.746
Batman,DE_RE_Analyzer_4r100,95,1.0
Batman,DE_RE_Analyzer_4r100,94,0.743
Batman,DE_RE_Analyzer_4r100,93,0.658
Batman,DE_RE_Analyzer_4r100,92,0.339
Batman,DE_RE_Analyzer_4r100,91,0.5
Batman,DE_RE_Analyzer_4r100,90,0.842
Batman,DE_RE_Analyzer_4r100,89,0.82
Batman,DE_RE_Analyzer_4r100,88,0.681
Batman,DE_RE_Analyzer_4r100,87,0.854
Batman,DE_RE_Analyzer_4r100,86,0.512
Batman,DE_RE_Analyzer_4r100,85,0.65
Batman,DE_RE_Analyzer_4r100,84,0.32
Batman,DE_RE_Analyzer_4r100,83,1.0
Batman,DE_RE_Analyzer_4r100,82,0.747
Batman,DE_RE_Analyzer_4r100,81,1.0
Batman,DE_RE_Analyzer_4r100,80,0.585
Batman,DE_RE_Analyzer_4r100,79,0.478
Batman,DE_RE_Analyzer_4r100,78,0.915
Batman,DE_RE_Analyzer_4r100,77,0.577
