Team,Tag,Topic,nDCG@5
Thor,uh-t2-thor,100,0.076
Thor,uh-t2-thor,99,0.486
Thor,uh-t2-thor,98,0.218
Thor,uh-t2-thor,97,0.55
Thor,uh-t2-thor,96,0.0
Thor,uh-t2-thor,95,0.229
Thor,uh-t2-thor,94,1.0
Thor,uh-t2-thor,93,0.321
Thor,uh-t2-thor,92,0.197
Thor,uh-t2-thor,91,0.138
Thor,uh-t2-thor,90,1.0
Thor,uh-t2-thor,89,0.223
Thor,uh-t2-thor,88,0.127
Thor,uh-t2-thor,87,0.927
Thor,uh-t2-thor,86,0.0
Thor,uh-t2-thor,85,0.869
Thor,uh-t2-thor,84,0.139
Thor,uh-t2-thor,83,0.339
Thor,uh-t2-thor,82,0.934
Thor,uh-t2-thor,81,0.204
Thor,uh-t2-thor,80,0.433
Thor,uh-t2-thor,79,0.457
Thor,uh-t2-thor,78,0.699
Thor,uh-t2-thor,77,0.0
Thor,uh-t2-thor,76,0.861
Thor,uh-t2-thor,75,0.17
Thor,uh-t2-thor,74,0.591
Thor,uh-t2-thor,73,0.85
Thor,uh-t2-thor,72,0.915
Thor,uh-t2-thor,71,0.0
Thor,uh-t2-thor,70,0.253
Thor,uh-t2-thor,69,0.16
Thor,uh-t2-thor,68,0.927
Thor,uh-t2-thor,67,0.723
Thor,uh-t2-thor,66,0.606
Thor,uh-t2-thor,65,0.0
Thor,uh-t2-thor,64,0.553
Thor,uh-t2-thor,63,0.869
Thor,uh-t2-thor,62,0.202
Thor,uh-t2-thor,61,0.716
Thor,uh-t2-thor,60,0.76
Thor,uh-t2-thor,59,0.0
Thor,uh-t2-thor,58,0.869
Thor,uh-t2-thor,57,0.356
Thor,uh-t2-thor,56,0.788
Thor,uh-t2-thor,55,0.222
Thor,uh-t2-thor,54,0.447
Thor,uh-t2-thor,53,0.793
Thor,uh-t2-thor,52,0.688
Thor,uh-t2-thor,51,1.0
Katana21,run_tf.txt,100,0.42
Katana21,run_tf.txt,99,0.0
Katana21,run_tf.txt,98,0.603
Katana21,run_tf.txt,97,0.218
Katana21,run_tf.txt,96,0.0
Katana21,run_tf.txt,95,0.266
Katana21,run_tf.txt,94,0.0
Katana21,run_tf.txt,93,0.544
Katana21,run_tf.txt,92,0.0
Katana21,run_tf.txt,91,0.0
Katana21,run_tf.txt,90,0.869
Katana21,run_tf.txt,89,0.098
Katana21,run_tf.txt,88,0.747
Katana21,run_tf.txt,87,0.384
Katana21,run_tf.txt,86,0.0
Katana21,run_tf.txt,85,0.214
Katana21,run_tf.txt,84,0.238
Katana21,run_tf.txt,83,0.214
Katana21,run_tf.txt,82,0.796
Katana21,run_tf.txt,81,0.214
Katana21,run_tf.txt,80,0.26
Katana21,run_tf.txt,79,0.588
Katana21,run_tf.txt,78,0.301
Katana21,run_tf.txt,77,0.0
Katana21,run_tf.txt,76,0.512
Katana21,run_tf.txt,75,0.47
Katana21,run_tf.txt,74,0.741
Katana21,run_tf.txt,73,0.488
Katana21,run_tf.txt,72,0.636
Katana21,run_tf.txt,71,0.253
Katana21,run_tf.txt,70,0.236
Katana21,run_tf.txt,69,0.258
Katana21,run_tf.txt,68,0.786
Katana21,run_tf.txt,67,0.893
Katana21,run_tf.txt,66,0.423
Katana21,run_tf.txt,65,0.0
Katana21,run_tf.txt,64,0.17
Katana21,run_tf.txt,63,0.854
Katana21,run_tf.txt,62,0.182
Katana21,run_tf.txt,61,0.682
Katana21,run_tf.txt,60,0.76
Katana21,run_tf.txt,59,0.0
Katana21,run_tf.txt,58,0.626
Katana21,run_tf.txt,57,0.138
Katana21,run_tf.txt,56,0.53
Katana21,run_tf.txt,55,0.341
Katana21,run_tf.txt,54,0.28
Katana21,run_tf.txt,53,0.507
Katana21,run_tf.txt,52,0.518
Katana21,run_tf.txt,51,1.0
Katana21,lgbm_ranker,100,0.321
Katana21,lgbm_ranker,99,0.418
Katana21,lgbm_ranker,98,0.218
Katana21,lgbm_ranker,97,0.328
Katana21,lgbm_ranker,96,0.0
Katana21,lgbm_ranker,95,0.471
Katana21,lgbm_ranker,94,0.0
Katana21,lgbm_ranker,93,0.53
Katana21,lgbm_ranker,92,0.0
Katana21,lgbm_ranker,91,0.0
Katana21,lgbm_ranker,90,0.934
Katana21,lgbm_ranker,89,0.615
Katana21,lgbm_ranker,88,0.747
Katana21,lgbm_ranker,87,0.243
Katana21,lgbm_ranker,86,0.0
Katana21,lgbm_ranker,85,0.509
Katana21,lgbm_ranker,84,0.316
Katana21,lgbm_ranker,83,0.577
Katana21,lgbm_ranker,82,0.915
Katana21,lgbm_ranker,81,0.17
Katana21,lgbm_ranker,80,0.41
Katana21,lgbm_ranker,79,0.515
Katana21,lgbm_ranker,78,0.468
Katana21,lgbm_ranker,77,0.124
Katana21,lgbm_ranker,76,0.563
Katana21,lgbm_ranker,75,0.661
Katana21,lgbm_ranker,74,0.642
Katana21,lgbm_ranker,73,0.692
Katana21,lgbm_ranker,72,0.808
Katana21,lgbm_ranker,71,0.446
Katana21,lgbm_ranker,70,0.413
Katana21,lgbm_ranker,69,0.253
Katana21,lgbm_ranker,68,0.616
Katana21,lgbm_ranker,67,0.723
Katana21,lgbm_ranker,66,0.701
Katana21,lgbm_ranker,65,0.0
Katana21,lgbm_ranker,64,0.447
Katana21,lgbm_ranker,63,0.723
Katana21,lgbm_ranker,62,0.0
Katana21,lgbm_ranker,61,0.682
Katana21,lgbm_ranker,60,0.76
Katana21,lgbm_ranker,59,0.0
Katana21,lgbm_ranker,58,0.869
Katana21,lgbm_ranker,57,0.437
Katana21,lgbm_ranker,56,0.692
Katana21,lgbm_ranker,55,0.138
Katana21,lgbm_ranker,54,0.299
Katana21,lgbm_ranker,53,1.0
Katana21,lgbm_ranker,52,0.603
Katana21,lgbm_ranker,51,1.0
Katana21,rand_forest,100,0.197
Katana21,rand_forest,99,0.248
Katana21,rand_forest,98,0.218
Katana21,rand_forest,97,0.312
Katana21,rand_forest,96,0.0
Katana21,rand_forest,95,0.362
Katana21,rand_forest,94,0.0
Katana21,rand_forest,93,0.544
Katana21,rand_forest,92,0.0
Katana21,rand_forest,91,0.0
