Team,Tag,Topic,nDCG@5
Batman,ER_v1,99,0.577
Batman,ER_v1,98,0.392
Batman,ER_v1,97,1
Batman,ER_v1,96,0.903
Batman,ER_v1,95,1
Batman,ER_v1,94,0.531
Batman,ER_v1,93,0.346
Batman,ER_v1,92,0.567
Batman,ER_v1,91,0.5
Batman,ER_v1,90,0.423
Batman,ER_v1,89,1
Batman,ER_v1,88,0.23
Batman,ER_v1,87,1
Batman,ER_v1,86,0
Batman,ER_v1,85,0.846
Batman,ER_v1,84,0.587
Batman,ER_v1,83,0.787
Batman,ER_v1,82,0.714
Batman,ER_v1,81,0.894
Batman,ER_v1,80,0.5
Batman,ER_v1,79,0.827
Batman,ER_v1,78,1
Batman,ER_v1,77,0.633
Batman,ER_v1,76,1
Batman,ER_v1,75,0.566
Batman,ER_v1,74,0.846
Batman,ER_v1,73,0.066
Batman,ER_v1,72,0.693
Batman,ER_v1,71,0.403
Batman,ER_v1,70,0
Batman,ER_v1,69,1
Batman,ER_v1,68,0.423
Batman,ER_v1,67,0.566
Batman,ER_v1,66,0.69
Batman,ER_v1,65,0.655
Batman,ER_v1,64,0.868
Batman,ER_v1,63,0.27
Batman,ER_v1,62,0.894
Batman,ER_v1,61,0.566
Batman,ER_v1,60,0.903
Batman,ER_v1,59,0.846
Batman,ER_v1,58,0.923
Batman,ER_v1,57,0.47
Batman,ER_v1,56,0.654
Batman,ER_v1,55,1
Batman,ER_v1,54,0.76
Batman,ER_v1,53,0.846
Batman,ER_v1,52,0.694
Batman,ER_v1,51,0.703
Batman,DE_RE_Analyzer_4r100,100,0.249
Batman,DE_RE_Analyzer_4r100,99,0.5
Batman,DE_RE_Analyzer_4r100,98,0.674
Batman,DE_RE_Analyzer_4r100,97,0.827
Batman,DE_RE_Analyzer_4r100,96,0.797
Batman,DE_RE_Analyzer_4r100,95,1
Batman,DE_RE_Analyzer_4r100,94,0.683
Batman,DE_RE_Analyzer_4r100,93,0.674
Batman,DE_RE_Analyzer_4r100,92,0.213
Batman,DE_RE_Analyzer_4r100,91,0.5
Batman,DE_RE_Analyzer_4r100,90,0.826
Batman,DE_RE_Analyzer_4r100,89,0.77
Batman,DE_RE_Analyzer_4r100,88,0.627
Batman,DE_RE_Analyzer_4r100,87,0.846
Batman,DE_RE_Analyzer_4r100,86,0.52
Batman,DE_RE_Analyzer_4r100,85,0.663
Batman,DE_RE_Analyzer_4r100,84,0.27
Batman,DE_RE_Analyzer_4r100,83,1
Batman,DE_RE_Analyzer_4r100,82,0.693
Batman,DE_RE_Analyzer_4r100,81,1
Batman,DE_RE_Analyzer_4r100,80,0.597
Batman,DE_RE_Analyzer_4r100,79,0.443
Batman,DE_RE_Analyzer_4r100,78,0.903
Batman,DE_RE_Analyzer_4r100,77,0.499
Batman,DE_RE_Analyzer_4r100,76,1
Batman,DE_RE_Analyzer_4r100,75,0.383
Batman,DE_RE_Analyzer_4r100,74,1
Batman,DE_RE_Analyzer_4r100,73,0.154
Batman,DE_RE_Analyzer_4r100,72,1
Batman,DE_RE_Analyzer_4r100,71,0.846
