Team,Tag,Topic,nDCG@5
Grimjack,grimjack-fair-reranking-argumentative-axioms,70,0.628
Grimjack,grimjack-fair-reranking-argumentative-axioms,69,0.257
Grimjack,grimjack-fair-reranking-argumentative-axioms,68,0.468
Grimjack,grimjack-fair-reranking-argumentative-axioms,67,0.0
Grimjack,grimjack-fair-reranking-argumentative-axioms,62,0.82
Grimjack,grimjack-fair-reranking-argumentative-axioms,61,0.927
Grimjack,grimjack-fair-reranking-argumentative-axioms,60,0.214
Grimjack,grimjack-fair-reranking-argumentative-axioms,59,0.18
Grimjack,grimjack-fair-reranking-argumentative-axioms,58,0.371
Grimjack,grimjack-fair-reranking-argumentative-axioms,56,0.0
Grimjack,grimjack-fair-reranking-argumentative-axioms,55,0.146
Grimjack,grimjack-fair-reranking-argumentative-axioms,54,0.769
Grimjack,grimjack-fair-reranking-argumentative-axioms,53,0.578
Grimjack,grimjack-fair-reranking-argumentative-axioms,51,0.934
Grimjack,grimjack-fair-reranking-argumentative-axioms,48,0.218
Grimjack,grimjack-fair-reranking-argumentative-axioms,43,0.109
Grimjack,grimjack-fair-reranking-argumentative-axioms,42,0.33
Grimjack,grimjack-fair-reranking-argumentative-axioms,37,0.704
Grimjack,grimjack-fair-reranking-argumentative-axioms,36,0.65
Grimjack,grimjack-fair-reranking-argumentative-axioms,34,0.459
Grimjack,grimjack-fair-reranking-argumentative-axioms,33,0.854
Grimjack,grimjack-fair-reranking-argumentative-axioms,30,0.434
Grimjack,grimjack-fair-reranking-argumentative-axioms,28,0.465
Grimjack,grimjack-fair-reranking-argumentative-axioms,27,0.0
Grimjack,grimjack-fair-reranking-argumentative-axioms,26,0.339
Grimjack,grimjack-fair-reranking-argumentative-axioms,25,0.684
Grimjack,grimjack-fair-reranking-argumentative-axioms,23,0.384
Grimjack,grimjack-fair-reranking-argumentative-axioms,22,0.689
Grimjack,grimjack-fair-reranking-argumentative-axioms,19,0.457
Grimjack,grimjack-fair-reranking-argumentative-axioms,18,0.777
Grimjack,grimjack-fair-reranking-argumentative-axioms,17,0.238
Grimjack,grimjack-fair-reranking-argumentative-axioms,14,0.212
Grimjack,grimjack-fair-reranking-argumentative-axioms,12,0.626
Grimjack,grimjack-fair-reranking-argumentative-axioms,9,0.085
Grimjack,grimjack-fair-reranking-argumentative-axioms,8,0.131
Grimjack,grimjack-fair-reranking-argumentative-axioms,3,0.0
Grimjack,grimjack-fair-reranking-argumentative-axioms,2,0.339
Grimjack,grimjack-all-you-need-is-t0,100,0.509
Grimjack,grimjack-all-you-need-is-t0,95,0.246
Grimjack,grimjack-all-you-need-is-t0,93,0.522
Grimjack,grimjack-all-you-need-is-t0,92,0.412
Grimjack,grimjack-all-you-need-is-t0,91,0.934
Grimjack,grimjack-all-you-need-is-t0,88,0.0
Grimjack,grimjack-all-you-need-is-t0,86,0.17
Grimjack,grimjack-all-you-need-is-t0,84,0.277
Grimjack,grimjack-all-you-need-is-t0,78,0.214
Grimjack,grimjack-all-you-need-is-t0,77,0.496
Grimjack,grimjack-all-you-need-is-t0,76,0.277
Grimjack,grimjack-all-you-need-is-t0,74,0.49
Grimjack,grimjack-all-you-need-is-t0,72,0.364
Grimjack,grimjack-all-you-need-is-t0,70,0.723
Grimjack,grimjack-all-you-need-is-t0,69,0.246
Grimjack,grimjack-all-you-need-is-t0,68,0.316
Grimjack,grimjack-all-you-need-is-t0,67,0.0
Grimjack,grimjack-all-you-need-is-t0,62,0.927
Grimjack,grimjack-all-you-need-is-t0,61,0.915
Grimjack,grimjack-all-you-need-is-t0,60,0.146
Grimjack,grimjack-all-you-need-is-t0,59,0.139
Grimjack,grimjack-all-you-need-is-t0,58,0.085
Grimjack,grimjack-all-you-need-is-t0,56,0.0
Grimjack,grimjack-all-you-need-is-t0,55,0.0
Grimjack,grimjack-all-you-need-is-t0,54,0.765
Grimjack,grimjack-all-you-need-is-t0,53,0.218
Grimjack,grimjack-all-you-need-is-t0,51,0.72
Grimjack,grimjack-all-you-need-is-t0,48,0.406
Grimjack,grimjack-all-you-need-is-t0,43,0.0
Grimjack,grimjack-all-you-need-is-t0,42,0.33
Grimjack,grimjack-all-you-need-is-t0,37,0.658
Grimjack,grimjack-all-you-need-is-t0,36,0.555
Grimjack,grimjack-all-you-need-is-t0,34,0.488
Grimjack,grimjack-all-you-need-is-t0,33,0.576
Grimjack,grimjack-all-you-need-is-t0,30,0.5
Grimjack,grimjack-all-you-need-is-t0,28,0.115
Grimjack,grimjack-all-you-need-is-t0,27,0.0
Grimjack,grimjack-all-you-need-is-t0,26,0.0
Grimjack,grimjack-all-you-need-is-t0,25,0.405
Grimjack,grimjack-all-you-need-is-t0,23,0.107
Grimjack,grimjack-all-you-need-is-t0,22,0.541
Grimjack,grimjack-all-you-need-is-t0,19,0.408
Grimjack,grimjack-all-you-need-is-t0,18,0.692
Grimjack,grimjack-all-you-need-is-t0,17,0.17
Grimjack,grimjack-all-you-need-is-t0,14,0.131
Grimjack,grimjack-all-you-need-is-t0,12,0.765
Grimjack,grimjack-all-you-need-is-t0,9,0.158
Grimjack,grimjack-all-you-need-is-t0,8,0.131
Grimjack,grimjack-all-you-need-is-t0,3,0.0
Grimjack,grimjack-all-you-need-is-t0,2,0.0
Grimjack,grimjack-fair-argumentative-reranking-with-t0,100,0.339
Grimjack,grimjack-fair-argumentative-reranking-with-t0,95,0.342
Grimjack,grimjack-fair-argumentative-reranking-with-t0,93,0.374
Grimjack,grimjack-fair-argumentative-reranking-with-t0,92,0.544
Grimjack,grimjack-fair-argumentative-reranking-with-t0,91,0.626
Grimjack,grimjack-fair-argumentative-reranking-with-t0,88,0.0
Grimjack,grimjack-fair-argumentative-reranking-with-t0,86,0.339
Grimjack,grimjack-fair-argumentative-reranking-with-t0,84,0.47
Grimjack,grimjack-fair-argumentative-reranking-with-t0,78,0.412
Grimjack,grimjack-fair-argumentative-reranking-with-t0,77,0.764
Grimjack,grimjack-fair-argumentative-reranking-with-t0,76,0.384
Grimjack,grimjack-fair-argumentative-reranking-with-t0,74,0.512
Grimjack,grimjack-fair-argumentative-reranking-with-t0,72,0.342
Grimjack,grimjack-fair-argumentative-reranking-with-t0,70,0.0
Grimjack,grimjack-fair-argumentative-reranking-with-t0,69,0.33
Grimjack,grimjack-fair-argumentative-reranking-with-t0,68,0.607
Grimjack,grimjack-fair-argumentative-reranking-with-t0,67,0.0
Grimjack,grimjack-fair-argumentative-reranking-with-t0,62,0.82
Grimjack,grimjack-fair-argumentative-reranking-with-t0,61,0.723
Grimjack,grimjack-fair-argumentative-reranking-with-t0,60,0.449
Grimjack,grimjack-fair-argumentative-reranking-with-t0,59,0.32
Grimjack,grimjack-fair-argumentative-reranking-with-t0,58,0.197
Grimjack,grimjack-fair-argumentative-reranking-with-t0,56,0.0
Grimjack,grimjack-fair-argumentative-reranking-with-t0,55,0.0
Grimjack,grimjack-fair-argumentative-reranking-with-t0,54,0.769
Grimjack,grimjack-fair-argumentative-reranking-with-t0,53,0.578
Grimjack,grimjack-fair-argumentative-reranking-with-t0,51,0.827
Grimjack,grimjack-fair-argumentative-reranking-with-t0,48,0.203
Grimjack,grimjack-fair-argumentative-reranking-with-t0,43,0.0
Grimjack,grimjack-fair-argumentative-reranking-with-t0,42,0.457
Grimjack,grimjack-fair-argumentative-reranking-with-t0,37,0.503
Grimjack,grimjack-fair-argumentative-reranking-with-t0,36,0.0
Grimjack,grimjack-fair-argumentative-reranking-with-t0,34,0.386
Grimjack,grimjack-fair-argumentative-reranking-with-t0,33,0.553
Grimjack,grimjack-fair-argumentative-reranking-with-t0,30,0.5
Grimjack,grimjack-fair-argumentative-reranking-with-t0,28,0.638
Grimjack,grimjack-fair-argumentative-reranking-with-t0,27,0.0
Grimjack,grimjack-fair-argumentative-reranking-with-t0,26,0.0
Grimjack,grimjack-fair-argumentative-reranking-with-t0,25,0.0
Grimjack,grimjack-fair-argumentative-reranking-with-t0,23,0.384
Grimjack,grimjack-fair-argumentative-reranking-with-t0,22,0.604
Grimjack,grimjack-fair-argumentative-reranking-with-t0,19,0.457
Grimjack,grimjack-fair-argumentative-reranking-with-t0,18,0.592
Grimjack,grimjack-fair-argumentative-reranking-with-t0,17,0.277
Grimjack,grimjack-fair-argumentative-reranking-with-t0,14,0.146
Grimjack,grimjack-fair-argumentative-reranking-with-t0,12,0.592
Grimjack,grimjack-fair-argumentative-reranking-with-t0,9,0.0
Grimjack,grimjack-fair-argumentative-reranking-with-t0,8,0.0
Grimjack,grimjack-fair-argumentative-reranking-with-t0,3,0.107
Grimjack,grimjack-fair-argumentative-reranking-with-t0,2,0.0
Olivier Armstrong,tfid_arg_similarity,100,0.491
Olivier Armstrong,tfid_arg_similarity,95,0.139
Olivier Armstrong,tfid_arg_similarity,93,0.512
Olivier Armstrong,tfid_arg_similarity,92,0.441
Olivier Armstrong,tfid_arg_similarity,91,0.723
Olivier Armstrong,tfid_arg_similarity,88,0.146
Olivier Armstrong,tfid_arg_similarity,86,0.423
Olivier Armstrong,tfid_arg_similarity,84,0.507
Olivier Armstrong,tfid_arg_similarity,78,0.842
Olivier Armstrong,tfid_arg_similarity,77,0.718
Olivier Armstrong,tfid_arg_similarity,76,0.861
Olivier Armstrong,tfid_arg_similarity,74,0.17
Olivier Armstrong,tfid_arg_similarity,72,0.563
Olivier Armstrong,tfid_arg_similarity,70,0.0
Olivier Armstrong,tfid_arg_similarity,69,0.0
Olivier Armstrong,tfid_arg_similarity,68,0.566
Olivier Armstrong,tfid_arg_similarity,67,0.447
Olivier Armstrong,tfid_arg_similarity,62,1.0
Olivier Armstrong,tfid_arg_similarity,61,0.927
Olivier Armstrong,tfid_arg_similarity,60,0.619
Olivier Armstrong,tfid_arg_similarity,59,0.231
Olivier Armstrong,tfid_arg_similarity,58,0.358
Olivier Armstrong,tfid_arg_similarity,56,0.374
Olivier Armstrong,tfid_arg_similarity,55,0.519
Olivier Armstrong,tfid_arg_similarity,54,0.658
Olivier Armstrong,tfid_arg_similarity,53,0.401
Olivier Armstrong,tfid_arg_similarity,51,0.869
Olivier Armstrong,tfid_arg_similarity,48,0.397
Olivier Armstrong,tfid_arg_similarity,43,0.0
Olivier Armstrong,tfid_arg_similarity,42,0.466
Olivier Armstrong,tfid_arg_similarity,37,0.723
Olivier Armstrong,tfid_arg_similarity,36,0.468
Olivier Armstrong,tfid_arg_similarity,34,0.47
Olivier Armstrong,tfid_arg_similarity,33,0.934
Olivier Armstrong,tfid_arg_similarity,30,0.5
Olivier Armstrong,tfid_arg_similarity,28,0.283
Olivier Armstrong,tfid_arg_similarity,27,0.723
Olivier Armstrong,tfid_arg_similarity,26,0.485
Olivier Armstrong,tfid_arg_similarity,25,0.711
Olivier Armstrong,tfid_arg_similarity,23,0.17
Olivier Armstrong,tfid_arg_similarity,22,0.754
Olivier Armstrong,tfid_arg_similarity,19,0.374
Olivier Armstrong,tfid_arg_similarity,18,0.927
Olivier Armstrong,tfid_arg_similarity,17,0.17
Olivier Armstrong,tfid_arg_similarity,14,0.446
Olivier Armstrong,tfid_arg_similarity,12,0.405
Olivier Armstrong,tfid_arg_similarity,9,0.301
Olivier Armstrong,tfid_arg_similarity,8,0.287
Olivier Armstrong,tfid_arg_similarity,3,0.927
Olivier Armstrong,tfid_arg_similarity,2,0.17
Captain Levi,levirank_psuedo_relevance_feedback,100,0.509
Captain Levi,levirank_psuedo_relevance_feedback,95,0.488
Captain Levi,levirank_psuedo_relevance_feedback,93,0.735
Captain Levi,levirank_psuedo_relevance_feedback,92,0.753
Captain Levi,levirank_psuedo_relevance_feedback,91,0.82
Captain Levi,levirank_psuedo_relevance_feedback,88,0.854
