Team,Tag,Topic,f1_macro
Grimjack,grimjack-baseline,33,0.069
Grimjack,grimjack-baseline,30,0.18
Grimjack,grimjack-baseline,28,0.274
Grimjack,grimjack-baseline,27,0.263
Grimjack,grimjack-baseline,26,0.107
Grimjack,grimjack-baseline,25,0.272
Grimjack,grimjack-baseline,23,0.214
Grimjack,grimjack-baseline,22,0.211
Grimjack,grimjack-baseline,19,0.305
Grimjack,grimjack-baseline,18,0.088
Grimjack,grimjack-baseline,17,0.137
Grimjack,grimjack-baseline,14,0.214
Grimjack,grimjack-baseline,12,0.179
Grimjack,grimjack-baseline,9,0.132
Grimjack,grimjack-baseline,8,0.071
Grimjack,grimjack-baseline,3,0.16
Grimjack,grimjack-baseline,2,0.257
Grimjack,grimjack-fair-reranking-argumentative-axioms,100,0.069
Grimjack,grimjack-fair-reranking-argumentative-axioms,95,0.06
Grimjack,grimjack-fair-reranking-argumentative-axioms,93,0.258
Grimjack,grimjack-fair-reranking-argumentative-axioms,92,0.108
Grimjack,grimjack-fair-reranking-argumentative-axioms,91,0.257
Grimjack,grimjack-fair-reranking-argumentative-axioms,88,0.103
Grimjack,grimjack-fair-reranking-argumentative-axioms,86,0.187
Grimjack,grimjack-fair-reranking-argumentative-axioms,84,0.189
Grimjack,grimjack-fair-reranking-argumentative-axioms,78,0.201
Grimjack,grimjack-fair-reranking-argumentative-axioms,77,0.184
Grimjack,grimjack-fair-reranking-argumentative-axioms,76,0.267
Grimjack,grimjack-fair-reranking-argumentative-axioms,74,0.244
Grimjack,grimjack-fair-reranking-argumentative-axioms,72,0.187
Grimjack,grimjack-fair-reranking-argumentative-axioms,70,0.3
Grimjack,grimjack-fair-reranking-argumentative-axioms,69,0.056
Grimjack,grimjack-fair-reranking-argumentative-axioms,68,0.306
Grimjack,grimjack-fair-reranking-argumentative-axioms,67,0.14
Grimjack,grimjack-fair-reranking-argumentative-axioms,62,0.091
Grimjack,grimjack-fair-reranking-argumentative-axioms,61,0.337
Grimjack,grimjack-fair-reranking-argumentative-axioms,60,0.067
Grimjack,grimjack-fair-reranking-argumentative-axioms,59,0.0
Grimjack,grimjack-fair-reranking-argumentative-axioms,58,0.1
Grimjack,grimjack-fair-reranking-argumentative-axioms,56,0.203
Grimjack,grimjack-fair-reranking-argumentative-axioms,55,0.154
Grimjack,grimjack-fair-reranking-argumentative-axioms,54,0.214
Grimjack,grimjack-fair-reranking-argumentative-axioms,53,0.163
Grimjack,grimjack-fair-reranking-argumentative-axioms,51,0.191
Grimjack,grimjack-fair-reranking-argumentative-axioms,48,0.208
Grimjack,grimjack-fair-reranking-argumentative-axioms,43,0.05
Grimjack,grimjack-fair-reranking-argumentative-axioms,42,0.028
Grimjack,grimjack-fair-reranking-argumentative-axioms,37,0.31
Grimjack,grimjack-fair-reranking-argumentative-axioms,36,0.202
Grimjack,grimjack-fair-reranking-argumentative-axioms,34,0.245
Grimjack,grimjack-fair-reranking-argumentative-axioms,33,0.069
Grimjack,grimjack-fair-reranking-argumentative-axioms,30,0.18
Grimjack,grimjack-fair-reranking-argumentative-axioms,28,0.274
Grimjack,grimjack-fair-reranking-argumentative-axioms,27,0.263
Grimjack,grimjack-fair-reranking-argumentative-axioms,26,0.107
Grimjack,grimjack-fair-reranking-argumentative-axioms,25,0.272
Grimjack,grimjack-fair-reranking-argumentative-axioms,23,0.214
Grimjack,grimjack-fair-reranking-argumentative-axioms,22,0.211
Grimjack,grimjack-fair-reranking-argumentative-axioms,19,0.305
Grimjack,grimjack-fair-reranking-argumentative-axioms,18,0.088
Grimjack,grimjack-fair-reranking-argumentative-axioms,17,0.137
Grimjack,grimjack-fair-reranking-argumentative-axioms,14,0.214
Grimjack,grimjack-fair-reranking-argumentative-axioms,12,0.179
Grimjack,grimjack-fair-reranking-argumentative-axioms,9,0.132
Grimjack,grimjack-fair-reranking-argumentative-axioms,8,0.071
Grimjack,grimjack-fair-reranking-argumentative-axioms,3,0.16
Grimjack,grimjack-fair-reranking-argumentative-axioms,2,0.257
Grimjack,grimjack-all-you-need-is-t0,100,0.174
Grimjack,grimjack-all-you-need-is-t0,95,0.062
Grimjack,grimjack-all-you-need-is-t0,93,0.235
Grimjack,grimjack-all-you-need-is-t0,92,0.196
Grimjack,grimjack-all-you-need-is-t0,91,0.348
Grimjack,grimjack-all-you-need-is-t0,88,0.233
Grimjack,grimjack-all-you-need-is-t0,86,0.11
Grimjack,grimjack-all-you-need-is-t0,84,0.255
Grimjack,grimjack-all-you-need-is-t0,78,0.293
Grimjack,grimjack-all-you-need-is-t0,77,0.361
Grimjack,grimjack-all-you-need-is-t0,76,0.28
Grimjack,grimjack-all-you-need-is-t0,74,0.332
Grimjack,grimjack-all-you-need-is-t0,72,0.417
Grimjack,grimjack-all-you-need-is-t0,70,0.21
Grimjack,grimjack-all-you-need-is-t0,69,0.324
Grimjack,grimjack-all-you-need-is-t0,68,0.297
Grimjack,grimjack-all-you-need-is-t0,67,0.41
Grimjack,grimjack-all-you-need-is-t0,62,0.292
Grimjack,grimjack-all-you-need-is-t0,61,0.028
Grimjack,grimjack-all-you-need-is-t0,60,0.06
Grimjack,grimjack-all-you-need-is-t0,59,0.233
Grimjack,grimjack-all-you-need-is-t0,58,0.167
Grimjack,grimjack-all-you-need-is-t0,56,0.367
Grimjack,grimjack-all-you-need-is-t0,55,0.304
Grimjack,grimjack-all-you-need-is-t0,54,0.205
Grimjack,grimjack-all-you-need-is-t0,53,0.328
Grimjack,grimjack-all-you-need-is-t0,51,0.303
Grimjack,grimjack-all-you-need-is-t0,48,0.236
Grimjack,grimjack-all-you-need-is-t0,43,0.023
Grimjack,grimjack-all-you-need-is-t0,42,0.181
Grimjack,grimjack-all-you-need-is-t0,37,0.319
Grimjack,grimjack-all-you-need-is-t0,36,0.343
Grimjack,grimjack-all-you-need-is-t0,34,0.212
Grimjack,grimjack-all-you-need-is-t0,33,0.339
Grimjack,grimjack-all-you-need-is-t0,30,0.374
Grimjack,grimjack-all-you-need-is-t0,28,0.265
Grimjack,grimjack-all-you-need-is-t0,27,0.184
Grimjack,grimjack-all-you-need-is-t0,26,0.104
Grimjack,grimjack-all-you-need-is-t0,25,0.361
Grimjack,grimjack-all-you-need-is-t0,23,0.238
Grimjack,grimjack-all-you-need-is-t0,22,0.329
Grimjack,grimjack-all-you-need-is-t0,19,0.432
Grimjack,grimjack-all-you-need-is-t0,18,0.109
Grimjack,grimjack-all-you-need-is-t0,17,0.094
Grimjack,grimjack-all-you-need-is-t0,14,0.219
Grimjack,grimjack-all-you-need-is-t0,12,0.222
Grimjack,grimjack-all-you-need-is-t0,9,0.2
Grimjack,grimjack-all-you-need-is-t0,8,0.268
Grimjack,grimjack-all-you-need-is-t0,3,0.202
Grimjack,grimjack-all-you-need-is-t0,2,0.443
Grimjack,grimjack-fair-argumentative-reranking-with-t0,100,0.042
Grimjack,grimjack-fair-argumentative-reranking-with-t0,95,0.06
Grimjack,grimjack-fair-argumentative-reranking-with-t0,93,0.256
Grimjack,grimjack-fair-argumentative-reranking-with-t0,92,0.134
Grimjack,grimjack-fair-argumentative-reranking-with-t0,91,0.257
Grimjack,grimjack-fair-argumentative-reranking-with-t0,88,0.118
Grimjack,grimjack-fair-argumentative-reranking-with-t0,86,0.267
Grimjack,grimjack-fair-argumentative-reranking-with-t0,84,0.197
Grimjack,grimjack-fair-argumentative-reranking-with-t0,78,0.201
Grimjack,grimjack-fair-argumentative-reranking-with-t0,77,0.189
Grimjack,grimjack-fair-argumentative-reranking-with-t0,76,0.243
Grimjack,grimjack-fair-argumentative-reranking-with-t0,74,0.244
Grimjack,grimjack-fair-argumentative-reranking-with-t0,72,0.133
Grimjack,grimjack-fair-argumentative-reranking-with-t0,70,0.0
